Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,,,,,,,,,,,,,,,
8/10/23,Jilly,A,8:24,AM ,3,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
8/10/23,Jilly,A,10:07,AM ,3,AM,3,FT,Actor,Y,,,,,,,,,,,,,,,
7/11/24,Vanessa,A,10:35,AM5,3,AM,3,AT,Actor,Y,,,,,,,,,,,,,,,
7/15/24,Landon,A,11:55,AM,3,AM,2,FT,Actor,U,,,,,,,,,,,,,,,
7/15/24,Landon,A,8:59,AM5,3,AM,2,FT,Actor,U,,,,,,,,,,,,,,,
7/16/24,Landon,A,10:45,AM5,3,AM,2,FT,Recipient,U,,,,,,,,,,,,,,,
7/16/24,Vanessa,A,1:56,AM,3,AM3,2,FT,Actor,Y,,,,,,,,,,,,,,,
7/19/24,Landon,A,11:12,AM3 and AM,2 and 3,AM,2,FT,Actor,Y,,,,,,,,,,,,,,,
7/20/24,Vanessa,B,10:59,AM6,3,AM2,1,AT,Actor,Y,,,,,,,,,,,,,,,
7/23/24,Vanessa,A,11:41,AM8,2,AM,3,TH,Recipient,N,,,,,,,,,,,,,,,
7/23/24,Bella,B,9:44,AM,2,AM ,3,TH,Actor,Y,,,,,,,,,,,,,,,
7/23/24,Bella,B,8:20,AM,3,AM2,1,TH,Actor,Y,,,,,,,,,,,,,,,
7/25/24,Anita,B,12:09,AM,3,AM,2,AT,Actor,N,,,,,,,,,,,,,,,
7/27/24,Vanessa,A,10:16,AM7,3,AM3,2,CH,Actor,N,,,,,,,,,,,,,,,
7/29/24,Landon,B,8:23,AM1 and AM9,3 and 3,AM,3,FT,Actor,U,,,,,,,,,,,,,,,
7/29/24,Bella,A,11:33,AM and AM,3 and 2,AM,3,TH,Actor,Y,,,,,,,,,,,,,,,
7/29/24,Bella,A,12:30,AM ,3,AM5,3,TH,Actor,Y,,,,,,,,,,,,,,,
8/1/24,Vanessa,A,10:47,AM3 and AM5,2 and 3,AM,U,FT,Actor,N,,,,,,,,,,,,,,,
8/2/24,Vanessa,B,9:28,AM9,3,AM,3,CH,Actor,N,,,,,,,,,,,,,,,
8/2/24,Vanessa,B,9:28,AM,3,AM9,3,TH,Recipient,N,,,,,,,,,,,,,,,
8/3/24,Landon,A,8:54,AM3 and AM,2 and 3,AM7,3,FT,Actor,Y,,,,,,,,,,,,,,,
8/6/24,Landon,A,10:39,AM3,2,AM,3,DP,Actor,U,,,,,,,,,,,,,,,
8/6/24,Landon,A,10:59,AM,3,AM,3,FT,Actor,Y,,,,,,,,,,,,,,,
8/6/24,Landon,A,10:39,AM3,2,AM,3,TH,Actor,U,,,,,,,,,,,,,,,
8/6/24,Landon,A,10:23,AM5,2,AM,2,TH,Actor,Y,,,,,,,,,,,,,,,
8/7/24,Vanessa,A,8:35,AM3,2,AM and AM,3 and 3,AT,Actor,Y,,,,,,,,,,,,,,,
8/9/24,Bella,A,11:07,AM,3,AM5,3,TH,Actor,Y,,,,,,,,,,,,,,,
8/10/24,Landon,A,9:43,AM5,3,AM3,2,CH,Actor,Y,,,,,,,,,,,,,,,
8/10/24,Landon,A,9:40,AM5,3,AM3,2,TH,Actor,Y,,,,,,,,,,,,,,,
