id,latitude,longitude,scientific_name,common_name
142471963,34.2217544305,-118.8157236202,Lynx rufus,Bobcat
142558957,34.68797,-119.3586883333,Lynx rufus,Bobcat
143656016,34.2314799614,-118.7137669333,Lynx rufus,Bobcat
144078854,34.3569694444,-119.0489055556,Lynx rufus,Bobcat
144859912,34.0701659354,-118.9590003969,Lynx rufus,Bobcat
144860193,34.0514573097,-118.8342305554,Lynx rufus,Bobcat
145233666,34.035461861,-118.9340774627,Lynx rufus,Bobcat
146169028,34.0118587073,-118.9243712196,Lynx rufus,Bobcat
146185507,34.0259958855,-119.0396122589,Lynx rufus,Bobcat
146186097,34.1768376542,-118.8583178678,Lynx rufus,Bobcat
146975555,34.4591201862,-119.1845040942,Lynx rufus,Bobcat
147007192,34.3512166377,-119.257143865,Lynx rufus,Bobcat
148744017,34.2123078182,-118.692909555,Lynx rufus,Bobcat
149928086,34.2115883333,-118.82875,Lynx rufus,Bobcat
151849228,34.3400788748,-118.6327981786,Lynx rufus,Bobcat
152270016,34.0444210678,-118.9465493996,Lynx rufus,Bobcat
152873805,34.4598936944,-119.2908978611,Lynx rufus,Bobcat
154980927,34.1862666667,-118.7723166667,Lynx rufus,Bobcat
155806471,34.69107,-119.30328,Lynx rufus,Bobcat
156615707,34.6918016667,-119.28044,Lynx rufus,Bobcat
156743390,34.1707308339,-118.8607284609,Lynx rufus,Bobcat
157159480,34.2579309767,-118.7735111306,Lynx rufus,Bobcat
161934493,34.0082936937,-118.8292251719,Lynx rufus,Bobcat
163937832,34.1908950904,-118.9058925251,Lynx rufus,Bobcat
163938098,34.070696359,-118.9380480096,Lynx rufus,Bobcat
164760262,34.2137318121,-118.6929283307,Lynx rufus,Bobcat
165624512,34.3363643824,-119.4047848276,Lynx rufus,Bobcat
166950683,34.1838875546,-118.951310276,Lynx rufus,Bobcat
167386332,34.5179633333,-118.7588716667,Lynx rufus,Bobcat
168748930,34.1732707568,-118.9751772227,Lynx rufus,Bobcat
169249361,34.1850091924,-118.6012341916,Lynx rufus,Bobcat
172718668,34.2914218585,-118.7927987276,Lynx rufus,Bobcat
172718706,34.0540851853,-118.6317718004,Lynx rufus,Bobcat
172718745,34.3730292636,-118.6272696092,Lynx rufus,Bobcat
173020084,34.1764964958,-118.9593869436,Lynx rufus,Bobcat
174204380,34.1925318522,-119.166386058,Lynx rufus,Bobcat
175220763,34.1038061909,-118.9923700843,Lynx rufus,Bobcat
175615678,34.0673343492,-118.6125671117,Lynx rufus,Bobcat
175615733,34.140199049,-118.6921089794,Lynx rufus,Bobcat
175615782,34.1950065186,-118.7472666884,Lynx rufus,Bobcat
175615852,34.0852769643,-118.794432249,Lynx rufus,Bobcat
177644913,34.6831627997,-119.3544664,Lynx rufus,Bobcat
177663591,34.4575761676,-118.8511479616,Lynx rufus,Bobcat
180221138,34.1131116003,-118.712343512,Lynx rufus,Bobcat
180221294,34.1544788841,-118.7966574335,Lynx rufus,Bobcat
182621256,34.1751176256,-118.8858057501,Lynx rufus fasciatus,Western Bobcat
183615038,34.2287498441,-119.0752992262,Lynx rufus,Bobcat
184306826,34.1914527924,-118.9631985545,Lynx rufus,Bobcat
184632395,34.0971581761,-119.0162920951,Lynx rufus,Bobcat
190025224,34.6868166667,-119.3585966667,Lynx rufus,Bobcat
190146309,34.1221205352,-119.0166669193,Lynx rufus,Bobcat
190711010,34.678845,-119.30773,Lynx rufus,Bobcat
192103701,34.6956366667,-119.2725966667,Lynx rufus,Bobcat
192688541,34.3319336764,-119.2245934518,Lynx rufus,Bobcat
193541916,34.142425,-118.9648666667,Lynx rufus fasciatus,Western Bobcat
196064207,34.3067000172,-118.9250996563,Lynx rufus,Bobcat
197044995,34.4595533333,-118.891495,Lynx rufus,Bobcat
197506728,34.5295638889,-119.2231472222,Lynx rufus,Bobcat
198073778,34.2546988128,-118.7052891335,Lynx rufus,Bobcat
198195954,34.7492966667,-119.0450316667,Lynx rufus,Bobcat
198269792,34.3507583333,-119.3027333333,Lynx rufus,Bobcat
198772829,34.2046517056,-118.9154541272,Lynx rufus,Bobcat
199962326,34.2649716667,-118.6863633333,Lynx rufus,Bobcat
205198666,34.3827349952,-118.6749404424,Lynx rufus,Bobcat
206718690,34.0096406387,-118.8616715181,Lynx rufus,Bobcat
206718744,34.1648885033,-118.8934776421,Lynx rufus,Bobcat
207638261,34.1873877852,-118.7706569001,Lynx rufus,Bobcat
207643147,34.1871025056,-118.7591565638,Lynx rufus,Bobcat
215851478,34.7306305556,-119.0990833333,Lynx rufus,Bobcat
220914086,34.2820640399,-119.557434263,Lynx rufus,Bobcat
223427448,34.3191823632,-119.5347002217,Lynx rufus,Bobcat
