Name,Team,Meet,Time,Flags,links_for_scores,Event,score,pts
Clara Yu,Caltech,Caltech vs. La Verne,32.68,NA,https://www.swimcloud.com/results/314107/event/9/?id=144736119#time144736119,50 Back,NA,636
Anna Dyckerhoff,Whittier,UC Santa Cruz vs. Whittier,32.71,X,https://www.swimcloud.com/results/316371/event/7/?id=133450412#time133450412,50 Back,NA,634
Jedida Alvarez,La Verne,Caltech vs. La Verne,33.26,NA,https://www.swimcloud.com/results/314107/event/9/?id=144736120#time144736120,50 Back,NA,634
Alexis Anderson,Chapman,Chapman vs. La Verne,33.37,X R,https://www.swimcloud.com/results/328137/event/1/?id=141731092#time141731092,50 Back,NA,634
Liz Won,Caltech,Whittier vs. Caltech,34.03,X R,https://www.swimcloud.com/results/328848/event/1/?id=144199202#time144199202,50 Back,10,NA
Emma Fan,Caltech,Caltech vs. La Verne,34.64,NA,https://www.swimcloud.com/results/314107/event/9/?id=144736116#time144736116,50 Back,NA,623
Taylor Stute,La Verne,Cal Lu & LaVerne at CMS,34.84,R,https://www.swimcloud.com/results/330051/event/1/?id=142391559#time142391559,50 Back,–,NA
Riana Barrett,Whittier,Whittier vs. Coe,34.85,X,https://www.swimcloud.com/results/328421/event/19/?id=141794670#time141794670,50 Back,NA,NA
Melissa Brill,California Lutheran,Chapman vs. California Lutheran,34.87,X,https://www.swimcloud.com/results/333909/event/7/?id=145364274#time145364274,50 Back,1,NA
Kelly Long,La Verne,Caltech vs. La Verne,36.8,X,https://www.swimcloud.com/results/314107/event/19/?id=144736155#time144736155,50 Back,28,NA
Madii Greer,Redlands,Caltech vs. California Lutheran vs. Redlands,37.41,R,https://www.swimcloud.com/results/314106/event/3/?id=141682762#time141682762,50 Back,–,NA
Nora Kane,Caltech,Occidental vs. Caltech,40.35,R,https://www.swimcloud.com/results/319245/event/5/?id=135124114#time135124114,50 Back,NA,613
Allie Haluska,Whittier,Whittier vs. Caltech,43.71,X,https://www.swimcloud.com/results/328848/event/7/?id=144199168#time144199168,50 Back,NA,611
Izzy Yoon,Pomona-Pitzer,D3 Shootout,56.03,D3 B,https://www.swimcloud.com/results/319506/event/14/?id=135782488#time135782488,100 Back,20,NA
Amaia Sherman,Pomona-Pitzer,SCIAC Championships,56.04,D3 B,https://www.swimcloud.com/results/310385/event/24/?id=146860823#time146860823,100 Back,17,NA
Charlotte Dixon,Pomona-Pitzer,UC Santa Cruz v Pomona-Pitzer,56.19,D3 B R,https://www.swimcloud.com/results/333169/event/1/?id=144029620#time144029620,100 Back,16,NA
Annika Sharma,C-M-S,SCIAC Championships,57.25,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860807#time146860807,100 Back,15,NA
Sammy Ennis,C-M-S,SCIAC Championships,57.37,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860801#time146860801,100 Back,4,NA
Mollie Appl,Pomona-Pitzer,SCIAC Championships,57.55,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860815#time146860815,100 Back,NA,707
Gabby Calvi,Pomona-Pitzer,CMS vs. Pomona-Pitzer,57.58,NA,https://www.swimcloud.com/results/324574/event/17/?id=138341892#time138341892,100 Back,13,NA
Ashley Dangol,Pomona-Pitzer,CMS vs. Pomona,57.65,NA,https://www.swimcloud.com/results/335979/event/21/?id=145468521#time145468521,100 Back,12,NA
Joy Lee,Pomona-Pitzer,La Verne Invitational,57.89,NA,https://www.swimcloud.com/results/321222/event/21/?id=137407053#time137407053,100 Back,9,NA
Miranda Thompson,Chapman,SCIAC Championships,57.93,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860797#time146860797,100 Back,34,NA
Nika Makhervaks,C-M-S,CMS vs. Pomona-Pitzer,57.94,R,https://www.swimcloud.com/results/324574/event/1/?id=138342248#time138342248,100 Back,NA,681
Cora Buelow,Chapman,SCIAC Championships,57.96,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860792#time146860792,100 Back,6.50,NA
Kyler Brumfield,Occidental,SCIAC Championships,58.16,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860811#time146860811,100 Back,6.50,NA
Julia Benko,California Lutheran,SCIAC Championships,58.84,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860783#time146860783,100 Back,4,NA
Caitlin Kuhlmann,C-M-S,SCIAC Championships,58.84,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860803#time146860803,100 Back,NA,664
Emmy Luu,Pomona-Pitzer,SCIAC Championships,59.04,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860822#time146860822,100 Back,5,NA
Sun Young Byun,C-M-S,CMS vs. Occidental,59.21,NA,https://www.swimcloud.com/results/328613/event/7/?id=141689519#time141689519,100 Back,NA,661
Kileigh Ackerman,Redlands,SCIAC Championships,59.27,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860828#time146860828,100 Back,14,NA
May Ling Roberts,Pomona-Pitzer,UC Santa Cruz v Pomona-Pitzer,59.33,R,https://www.swimcloud.com/results/333169/event/1/?id=144029621#time144029621,100 Back,34,NA
Ashlyn Walters,Chapman,SCIAC Championships,59.36,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860799#time146860799,100 Back,–,NA
Molly Beetner,C-M-S,CMS vs. Pomona,59.48,NA,https://www.swimcloud.com/results/335979/event/21/?id=145468516#time145468516,100 Back,12,NA
Owan Fralick,California Lutheran,SCIAC Championships,59.52,NA,https://www.swimcloud.com/results/310385/event/24/?id=146860786#time146860786,100 Back,–,NA
